axis,value,scene,layer,readout,result
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:maintain_contact_channel,0.15
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:follow_order,0.06365777206749632
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:maintain_cohesion,0.4807605877452404
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:maintain_legitimacy,0.1511577720674963
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:assert_autonomy,0
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:protect_self,0.04607823814835985
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:relief_from_stress,0.017291323101624012
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:help_wounded,0.4057605877452404
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:immediate_compliance,0.32158089538797097
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:go_to_surface,0.26650136146883446
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:protect_other,0.44326058774524035
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:protect_others,0.44326058774524035
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:seek_information,0.35280563244576535
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:avoid_blame,0.03865777206749632
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:follow_leader,0.051157772067496325
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:support_leader,0.27220917990636834
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:challenge_leader,0.013657772067496327
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:scrutinize_leader,0.22780563244576535
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:faction_loyalty,0.24720917990636834
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:contain_enemy,0.24150136146883447
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:monitor_enemy,0.21480297520615427
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:complete_mission,0.28408089538797093
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:preserve_knowledge,0.22504921678779816
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:contain_threat,0.26650136146883446
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:avoid_pain,0.02471178918248755
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:keep_vow,0.08132447973000376
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:uphold_values,0.08865777206749632
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:redeem_self,0.08865777206749632
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:fulfill_role,0.12615777206749632
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:protect_specific_person,0.4057605877452404
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:test_loyalty,0.29658089538797094
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:escape,0.02107823814835985
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:avenge,0.08865777206749632
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:self_preservation,0.015998704229223393
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:BODY_CIRCADIAN_RESET,0.07092487413575171
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:protect_lives,0.2671296459872319
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:maintain_order,0.3090808953879709
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:seek_status,0.13865777206749633
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:preserve_autonomy,0.008578238148359854
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:serve_authority,0.12615777206749632
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:pursue_truth,0.33860724618308513
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:maintain_bonds,0.4307605877452404
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:seek_comfort,0.037211789182487555
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:self_transcendence,0.09382447973000375
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:accumulate_resources,0.24150136146883447
A_Care_Compassion,0.3333333333333333,S_vulnerable,S7,util:other,0.15
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:A:escape,0.35900410985758074
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:A:hide,0.25667979759617665
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:A:wait,0.5763105390446043
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:help,0.06353489021530694
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:harm,0.11611036871983278
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:ask_info,0.9311654681917362
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:avoid,0.10325347031641585
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:confront,0.5636819316419852
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:comfort,0.3552770089328
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:praise,0.27699563408319994
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:apologize,0.2950605667408
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:share_resource,0.25290905720639995
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:treat,0.240865768768
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:guard,0.3191471436176
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:escort,0.2589307014256
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:command,0.264295625
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:threaten,0.24827770833333337
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:accuse,0.24026875000000006
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:investigate,0.205
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:observe_target,0.35000000000000003
A_Care_Compassion,0.3333333333333333,S_vulnerable,S8,prior:B:verify,0.17500000000000002
